"acquisition-date","administration_name","association-period","association-person","association-person-type","association-subject","association-subject-association","creator","creator-role","csvId","description","description-original","dimensions_concatenated","documentation-free-text","free-field-content","inscription-content","inscription-method","inscription-position","legal_status","material","material-part","object_category","object_name","object_number","postgresId","priref","production-date-end","production-date-start","production-period","production-place","related-object-association","related-object-reference","reproduction-reference","title","identifier/dataset","identifier/num_id","identifier/unique-doc-id","text/all-description-text"
"1960-01-01T00:00:00.000Z","Science and Technology : Technology","","School of Agriculture, Edinburgh","person","Howgate Farm, Midlothian, Scotland, Northern Europe","","","","18","Long cart, used at Howgate, Midlothian","Metal, iron. A long cart with a bow of metal slats over each wheel, and a U-shaped iron check in front. Formerly used at Howgate, Midlothian.","","","","","","","Permanent collection","Metal | Iron","Slats | Check","15. ROAD TRANSPORT | Transport - carts, wagons, horse-drawn vehicles, heavy work trai","Cart, long","W.VC 12","19","6411","","","","","","","","","congruence-science-and-industry","18","congruence-science-and-industry_18","Metal, iron. A long cart with a bow of metal slats over each wheel, and a U-shaped iron check in front. Formerly used at Howgate, Midlothian.. . . . "
"1980-09-16T23:00:00.000Z","Science and Technology : Technology","","","","","","","","55","Paraffin tank","Paraffin tank.","","","","","","","Permanent collection","","","15. ROAD TRANSPORT | Transport - tractors","Tank","W.1980.55","56","7912","","","","","","","","","congruence-science-and-industry","19","congruence-science-and-industry_19","Paraffin tank.. . . . "
"1960-01-01T00:00:00.000Z","Science and Technology : Technology","","","","Peaston Farm, Ormiston, East Lothian, Scotland, Northern Europe","","","","19","Wooden harvest cart with two wheels with iron tyres, two-sided, with the name J. Riddell, Peaston No.18 on the side.","A harvest cart with open sides and built on a frame. From W# record: Wooden cart with two wheels with iron tyres, two-sided with the name J. Riddell, Peaston No.18 on the side.","","","","","","","Permanent collection","","","15. ROAD TRANSPORT","Cart, harvest","W.VC 13","20","6412","","","","","","","","","congruence-science-and-industry","20","congruence-science-and-industry_20","A harvest cart with open sides and built on a frame. From W# record: Wooden cart with two wheels with iron tyres, two-sided with the name J. Riddell, Peaston No.18 on the side.. . . . "
"1965-01-01T00:00:00.000Z","Science and Technology : Technology","","W. Wright | D. Wright","person | person","Bass Rock Farm, North Berwick, East Lothian, Scotland, Northern Europe | Heugh, North Berwick, East Lothian, Scotland, Northern Europe","|","","","25","Eight oval name-plates for carts, from Bass Rock Farm","(1)-(8) Eight oval name plates for carts, painted black, with awhite border.","","","","W.& D. Wright  Heugh  No.3 / W. & D. Wright  Heugh  No. 4 / W. & D. Wright  Heugh  No. 5 / W. & D. Wright  Heugh  No. 6 / W. & D. Wright  Heugh  No. 7 / W. & D. Wright  Heugh  No. 8 / W. & D.Wright  Heugh  N0. 10 / W. & D. Wright  Heugh  No. 12","","","Permanent collection","","","15. ROAD TRANSPORT | Transport - carts, wagons, horse-drawn vehicles, heavy work trai","Name-plate","W.VC 19","26","6418","","","","","","","","","congruence-science-and-industry","26","congruence-science-and-industry_26","(1)-(8) Eight oval name plates for carts, painted black, with awhite border.. . . W.& D. Wright  Heugh  No.3 / W. & D. Wright  Heugh  No. 4 / W. & D. Wright  Heugh  No. 5 / W. & D. Wright  Heugh  No. 6 / W. & D. Wright  Heugh  No. 7 / W. & D. Wright  Heugh  No. 8 / W. & D.Wright  Heugh  N0. 10 / W. & D. Wright  Heugh  No. 12. "
"1961-01-01T00:00:00.000Z","Science and Technology : Technology","","","","Sled | Hoy, Orkney, Scotland, Northern Europe","|","","","21","Solid wooden wheel, from a four-wheeled sled , used in Hoy","Wood, iron. A solid wooden wheel, iron shod, from a 4-wheeled ""sled""; formerly used in Hoy, Orkney.","","","","","","","Permanent collection","Wood","","15. ROAD TRANSPORT | Transport - carts, wagons, horse-drawn vehicles, heavy work trai","Wheel","W.VC 15","22","6414","","","","","","","","","congruence-science-and-industry","22","congruence-science-and-industry_22","Wood, iron. A solid wooden wheel, iron shod, from a 4-wheeled ""sled""; formerly used in Hoy, Orkney.. . . . "
"1962-01-01T00:00:00.000Z","Science and Technology : Technology","","Thomas Finnie and Co. | John Bennet","institution | person","Leith, Edinburgh, Midlothian, Scotland, Northern Europe","","","","22","Scale model of a horse with its harness and a cart, formerly displayed in the window of John Bennet, contractor, Leith","A scale model of a horse with its harness and a cart with builtup sides, formerly displayed in the window of John Bennet, Contractor, Leith; red painted stand.","","","","On sides: Thomas finnie & Co., Contractors, Leith","","","Permanent collection","","","15. ROAD TRANSPORT | Transport - carts, wagons, horse-drawn vehicles, heavy work trai","Horse / model | Cart / model","W.VC 16","23","6415","","","","","","","","","congruence-science-and-industry","23","congruence-science-and-industry_23","A scale model of a horse with its harness and a cart with builtup sides, formerly displayed in the window of John Bennet, Contractor, Leith; red painted stand.. . . On sides: Thomas finnie & Co., Contractors, Leith. "
"1962-01-01T00:00:00.000Z","Science and Technology : Technology","","R. Paterson","person","","","","","23","Coup-cart with a red cut-out fiddle ornament on the front board","A coup-cart with a cut out fiddle ornament on the front board; blue body, red wheels, red ornament. Used on the donor's farm [R. Paterson].","","","","","","","Permanent collection","","","15. ROAD TRANSPORT | Transport - carts, wagons, horse-drawn vehicles, heavy work trai","Cart, coup","W.VC 17","24","6416","","","","","","","","","congruence-science-and-industry","24","congruence-science-and-industry_24","A coup-cart with a cut out fiddle ornament on the front board; blue body, red wheels, red ornament. Used on the donor's farm [R. Paterson].. . . . "
"1964-01-01T00:00:00.000Z","Science and Technology : Technology","","J.D Forrest | S.S. Forrest","person | person","Duns, Berwickshire, Scotland, Northern Europe","","","","24","Horse-drawn pig float","Iron, wood. A horse-drawn pig float, with 2 iron shod wheels, apair of wooden shafts, and a body of horizontal planks with gaps between, and an iron top rail; there are two iron rings for tying pigs at the front, and a pair of slots to contain planks or a door (missing) to close them in at the front end; an oval nameplate (more recent addition).","","","","On name-plate: J.D. & S.S. Forrest, No. 7, Middlefield, Duns","","","Permanent collection","Iron","","15. ROAD TRANSPORT | Transport - carts, wagons, horse-drawn vehicles, heavy work trai","Float, pig","W.VC 18","25","6417","","","","","","","","","congruence-science-and-industry","25","congruence-science-and-industry_25","Iron, wood. A horse-drawn pig float, with 2 iron shod wheels, apair of wooden shafts, and a body of horizontal planks with gaps between, and an iron top rail; there are two iron rings for tying pigs at the front, and a pair of slots to contain planks or a door (missing) to close them in at the front end; an oval nameplate (more recent addition).. . . On name-plate: J.D. & S.S. Forrest, No. 7, Middlefield, Duns. "
"1966-01-01T00:00:00.000Z","Science and Technology : Technology","","","","","","","","26","Wooden cart axle","Wood, leather. A wooden cart with the remnants of leather patches nailed on the hubs. There is a hole through the axle at either side, before the hubs and [a drawing], [a curved horizontal line connecting two vertical lines which become broken above the horizontal], is carved into it at the centre.","","","","","","","Permanent collection","Wood","","15. ROAD TRANSPORT | Transport - carts, wagons, horse-drawn vehicles, heavy work trai","Axle, cart","W.VC 20","27","6419","","","","","","","","","congruence-science-and-industry","27","congruence-science-and-industry_27","Wood, leather. A wooden cart with the remnants of leather patches nailed on the hubs. There is a hole through the axle at either side, before the hubs and [a drawing], [a curved horizontal line connecting two vertical lines which become broken above the horizontal], is carved into it at the centre.. . . . "
"1965-01-01T00:00:00.000Z","Science and Technology : Technology","","","","Bass Rock Farm, North Berwick, East Lothian, Scotland, Northern Europe","","","","27","Green painted box or coup cart","A green-painted box (coup) cart (green over red), with a red bolster and red wheels. Axle and wheel are missing.","","","Collections Reunited - 2017-06-20: Shafts and body moving together until further notice but not attached: Mercer, Katherine J. (NMS) | Collections Reunited - 2017-06-16: Shafts and body present but not attached: Reiss, Ben (NMS).","","","","Permanent collection","","","15. ROAD TRANSPORT | Transport - carts, wagons, horse-drawn vehicles, heavy work trai","Cart, box / cart, coup","W.VC 21","28","6420","","","","","","","","","congruence-science-and-industry","28","congruence-science-and-industry_28","A green-painted box (coup) cart (green over red), with a red bolster and red wheels. Axle and wheel are missing.. . Collections Reunited - 2017-06-20: Shafts and body moving together until further notice but not attached: Mercer, Katherine J. (NMS) | Collections Reunited - 2017-06-16: Shafts and body present but not attached: Reiss, Ben (NMS).. . "
